MUNICÍPIO,TOTAL_REGISTROS,IDEB_medio," ""Taxa de escolarização de 6 a 14 anos de idade""",TAXA_ESCOLARIZACAO,Populacao,Densidade Demografica,ALERTA_MAIS_ATENDIMENTOS,ATENDIMENTOS_POR_100K,CATEGORIA_IDEB,CATEGORIA_DENSIDADE,LATITUDE,LONGITUDE
ITATIRA,1591,6.4,98.36,98.36,20424.0,24.62,False,7789.86,IDEB Alto,Baixa Densidade,-4.52608,-39.6202
JAGUARETAMA,831,5.75,98.38,98.38,17232.0,9.43,False,4822.42,IDEB Baixo,Baixa Densidade,-5.6051,-38.7639
JAGUARIBARA,441,5.9,98.54,98.54,10356.0,16.62,False,4258.4,IDEB Baixo,Baixa Densidade,-5.67765,-38.5359
JAGUARIBE,1214,6.0,99.67,99.67,33726.0,17.97,False,3599.6,IDEB Alto,Baixa Densidade,-5.90213,-38.6227
JAGUARUANA,1544,5.95,96.74,96.74,31701.0,37.1,False,4870.51,IDEB Alto,Alta Densidade,-4.83151,-37.781
JARDIM,1655,5.199999999999999,98.49,98.49,27411.0,50.3,False,6037.72,IDEB Baixo,Alta Densidade,-7.57599,-39.2826
JATI,335,5.65,98.46,98.46,7861.0,21.34,False,4261.54,IDEB Baixo,Baixa Densidade,-7.6797,-39.0029
JIJOCA DE JERICOACOARA,746,8.75,99.34,99.34,25555.0,122.26,False,2919.19,IDEB Alto,Alta Densidade,-2.79331,-40.5127
JUAZEIRO DO NORTE,4495,5.25,98.84,98.84,286120.0,1105.62,False,1571.02,IDEB Baixo,Alta Densidade,-7.19621,-39.3076
JUCAS,1297,6.4,97.74,97.74,23922.0,25.44,False,5421.79,IDEB Alto,Baixa Densidade,-6.51523,-39.5187
LAVRAS DA MANGABEIRA,1484,5.050000000000001,98.99,98.99,30802.0,32.59,False,4817.87,IDEB Baixo,Baixa Densidade,-6.7448,-38.9706
LIMOEIRO DO NORTE,1719,6.6,99.67,99.67,59560.0,80.0,False,2886.17,IDEB Alto,Alta Densidade,-5.14392,-38.0847
MADALENA,1015,5.5,97.94,97.94,16896.0,16.93,False,6007.34,IDEB Baixo,Baixa Densidade,-4.84601,-39.5725
MARACANAU,4403,5.85,98.83,98.83,234509.0,2231.91,False,1877.54,IDEB Baixo,Alta Densidade,-3.86699,-38.6259
MARANGUAPE,3728,5.550000000000001,98.11,98.11,105093.0,180.11,False,3547.33,IDEB Baixo,Alta Densidade,-3.89143,-38.6829
MARCO,1509,6.25,96.06,96.06,25799.0,44.98,False,5849.06,IDEB Alto,Alta Densidade,-3.1285,-40.1582
MARTINOPOLE,703,6.75,99.62,99.62,10846.0,35.74,False,6481.65,IDEB Alto,Baixa Densidade,-3.2252,-40.6896
MASSAPE,1492,6.65,99.41,99.41,37697.0,66.39,False,3957.87,IDEB Alto,Alta Densidade,-3.52364,-40.3423
MAURITI,2587,5.2,98.43,98.43,45561.0,42.22,False,5678.1,IDEB Baixo,Alta Densidade,-7.38597,-38.7708
MERUOCA,656,7.1,99.26,99.26,15157.0,99.95,False,4328.03,IDEB Alto,Alta Densidade,-3.53974,-40.4531
MILAGRES,1572,5.4,99.39,99.39,25900.0,44.72,False,6069.5,IDEB Baixo,Alta Densidade,-7.29749,-38.9378
MILHA,613,8.25,98.94,98.94,14123.0,28.13,False,4340.44,IDEB Alto,Baixa Densidade,-5.67252,-39.1875
MIRAIMA,734,5.300000000000001,98.55,98.55,14196.0,20.03,False,5170.47,IDEB Baixo,Baixa Densidade,-3.56867,-39.9663
MISSAO VELHA,1921,5.05,99.16,99.16,36822.0,60.04,False,5216.99,IDEB Baixo,Alta Densidade,-7.23522,-39.143
MOMBACA,1829,6.4,99.23,99.23,37735.0,17.84,False,4846.96,IDEB Alto,Baixa Densidade,-5.73844,-39.63
MONSENHOR TABOSA,1106,7.85,98.99,98.99,17149.0,19.21,False,6449.36,IDEB Alto,Baixa Densidade,-4.79102,-40.0646
MORADA NOVA,2025,5.7,98.55,98.55,61443.0,22.23,False,3295.74,IDEB Baixo,Baixa Densidade,-5.09736,-38.3702
MORAUJO,518,6.25,99.56,99.56,8254.0,19.92,False,6275.75,IDEB Alto,Baixa Densidade,-3.46311,-40.6776
MORRINHOS,1032,6.15,98.74,98.74,22753.0,55.28,False,4535.67,IDEB Alto,Alta Densidade,-3.23426,-40.1233
MUCAMBO,387,7.65,99.27,99.27,13666.0,71.11,False,2831.85,IDEB Alto,Alta Densidade,-3.90271,-40.7452
MULUNGU,680,5.85,99.59,99.59,10569.0,107.9,False,6433.91,IDEB Baixo,Alta Densidade,-4.30294,-38.9951
NOVA OLINDA,880,7.45,99.2,99.2,15399.0,54.49,False,5714.66,IDEB Alto,Alta Densidade,-7.08415,-39.6713
NOVA RUSSAS,967,6.35,99.55,99.55,30699.0,41.66,False,3149.94,IDEB Alto,Alta Densidade,-4.70581,-40.5621
NOVO ORIENTE,1580,8.85,99.68,99.68,27545.0,29.07,False,5736.07,IDEB Alto,Baixa Densidade,-5.52552,-40.7713
OCARA,882,5.8,99.73,99.73,24493.0,32.1,False,3601.03,IDEB Baixo,Baixa Densidade,-4.48523,-38.5933
OROS,1303,5.85,99.77,99.77,19675.0,34.07,False,6622.62,IDEB Baixo,Baixa Densidade,-6.25182,-38.9053
PACAJUS,1682,6.300000000000001,98.78,98.78,70983.0,283.59,False,2369.58,IDEB Alto,Alta Densidade,-4.17107,-38.465
PACATUBA,1662,5.449999999999999,98.83,98.83,81524.0,611.88,False,2038.66,IDEB Baixo,Alta Densidade,-3.9784,-38.6183
PACOTI,528,5.949999999999999,99.09,99.09,11186.0,99.49,False,4720.19,IDEB Baixo,Alta Densidade,-4.22492,-38.922
PACUJA,255,5.7,99.34,99.34,6175.0,69.89,False,4129.55,IDEB Baixo,Alta Densidade,-3.98327,-40.6989
PALHANO,389,6.1,97.94,97.94,9346.0,21.39,False,4162.21,IDEB Alto,Baixa Densidade,-4.73672,-37.9655
PALMACIA,628,6.050000000000001,97.42,97.42,10242.0,79.46,False,6131.61,IDEB Alto,Alta Densidade,-4.13831,-38.8446
PARACURU,1365,6.35,99.12,99.12,38980.0,127.91,False,3501.8,IDEB Alto,Alta Densidade,-3.41436,-39.03
PARAIPABA,1384,6.4,99.26,99.26,32216.0,111.39,False,4296.0,IDEB Alto,Alta Densidade,-3.43799,-39.1479
PARAMBU,900,6.05,98.25,98.25,31445.0,13.59,False,2862.14,IDEB Alto,Baixa Densidade,-6.20768,-40.6905
PARAMOTI,632,5.75,99.21,99.21,10384.0,19.26,False,6086.29,IDEB Baixo,Baixa Densidade,-4.08815,-39.2417
PEDRA BRANCA,1824,8.0,98.77,98.77,40187.0,30.86,False,4538.78,IDEB Alto,Baixa Densidade,-5.45341,-39.7078
PENAFORTE,753,5.45,100.0,100.0,8972.0,59.6,False,8392.78,IDEB Baixo,Alta Densidade,-7.82163,-39.0707
PENTECOSTE,1381,6.15,98.42,98.42,37813.0,27.4,False,3652.18,IDEB Alto,Baixa Densidade,-3.79274,-39.2692
PEREIRO,604,6.85,99.26,99.26,15274.0,35.04,False,3954.43,IDEB Alto,Baixa Densidade,-6.03576,-38.4624
PINDORETAMA,1172,5.85,99.23,99.23,23391.0,315.95,False,5010.47,IDEB Baixo,Alta Densidade,-4.01584,-38.3061
PIQUET CARNEIRO,532,7.300000000000001,99.65,99.65,16616.0,28.18,False,3201.73,IDEB Alto,Baixa Densidade,-5.80025,-39.417
PIRES FERREIRA,381,9.6,99.56,99.56,10606.0,43.38,False,3592.31,IDEB Alto,Alta Densidade,-4.23922,-40.6442
PORANGA,672,5.75,100.0,100.0,12065.0,9.2,False,5569.83,IDEB Baixo,Baixa Densidade,-4.74672,-40.9205
PORTEIRAS,866,5.800000000000001,99.83,99.83,17050.0,75.82,False,5079.18,IDEB Baixo,Alta Densidade,-7.52265,-39.114
POTENGI,446,4.8,99.36,99.36,8833.0,25.73,False,5049.25,IDEB Baixo,Baixa Densidade,-7.09154,-40.0233
POTIRETAMA,249,6.15,99.45,99.45,5974.0,14.6,False,4168.06,IDEB Alto,Baixa Densidade,-5.71287,-38.1578
QUITERIANOPOLIS,833,6.0,99.53,99.53,20213.0,19.4,False,4121.11,IDEB Alto,Baixa Densidade,-5.8425,-40.7002
QUIXADA,4018,5.4,99.27,99.27,84168.0,41.66,False,4773.79,IDEB Baixo,Alta Densidade,-4.9663,-39.0155
QUIXELO,663,5.800000000000001,99.79,99.79,15910.0,26.28,False,4167.19,IDEB Baixo,Baixa Densidade,-6.24637,-39.2011
QUIXERAMOBIM,2621,6.1,99.41,99.41,82177.0,24.71,False,3189.46,IDEB Alto,Baixa Densidade,-5.19067,-39.2889
QUIXERE,542,6.1,99.25,99.25,20874.0,34.05,False,2596.53,IDEB Alto,Baixa Densidade,-5.07148,-37.9802
REDENCAO,1200,5.7,98.81,98.81,27214.0,109.74,False,4409.5,IDEB Baixo,Alta Densidade,-4.21587,-38.7277
RERIUTABA,760,6.550000000000001,99.04,99.04,18606.0,49.89,False,4084.7,IDEB Alto,Alta Densidade,-4.14191,-40.5759
RUSSAS,1260,6.45,98.75,98.75,72928.0,45.27,False,1727.73,IDEB Alto,Alta Densidade,-4.92673,-37.9721
SABOEIRO,765,5.5,99.45,99.45,13854.0,10.03,False,5521.87,IDEB Baixo,Baixa Densidade,-6.5346,-39.9017
SALITRE,1280,5.7,97.74,97.74,16633.0,20.63,False,7695.55,IDEB Baixo,Baixa Densidade,-7.28398,-40.45
SANTA QUITERIA,1797,5.95,99.78,99.78,40183.0,9.43,False,4472.04,IDEB Alto,Baixa Densidade,-4.32608,-40.1523
SANTANA DO ACARAU,1955,6.1,99.16,99.16,30628.0,31.49,False,6383.05,IDEB Alto,Baixa Densidade,-3.46144,-40.2118
SANTANA DO CARIRI,1234,5.300000000000001,99.34,99.34,16954.0,19.83,False,7278.52,IDEB Baixo,Baixa Densidade,-7.17613,-39.7302
SAO BENEDITO,2028,6.85,98.62,98.62,47640.0,135.79,False,4256.93,IDEB Alto,Alta Densidade,-4.04713,-40.8596
SAO GONCALO DO AMARANTE,1280,5.95,97.98,97.98,54143.0,64.25,False,2364.11,IDEB Alto,Alta Densidade,-3.60515,-38.9726
SAO JOAO DO JAGUARIBE,111,6.15,99.54,99.54,5855.0,20.95,False,1895.82,IDEB Alto,Baixa Densidade,-5.27516,-38.2694
SAO LUIS DO CURU,526,5.2,99.67,99.67,10822.0,88.08,False,4860.47,IDEB Baixo,Alta Densidade,-3.66976,-39.2391
SENADOR POMPEU,958,6.949999999999999,99.42,99.42,24266.0,25.36,False,3947.91,IDEB Alto,Baixa Densidade,-5.58244,-39.3704
SENADOR SA,415,6.75,99.1,99.1,7262.0,17.1,False,5714.68,IDEB Alto,Baixa Densidade,-3.35305,-40.4662
SOBRAL,3789,8.75,98.98,98.98,203023.0,98.15,False,1866.29,IDEB Alto,Alta Densidade,-3.68913,-40.3482
SOLONOPOLE,497,6.45,97.31,97.31,18179.0,11.84,False,2733.92,IDEB Alto,Baixa Densidade,-5.71894,-39.0107
TABULEIRO DO NORTE,997,6.2,99.74,99.74,30652.0,29.26,False,3252.64,IDEB Alto,Baixa Densidade,-5.24353,-38.1282
TAMBORIL,1397,8.25,100.0,100.0,24815.0,12.32,False,5629.66,IDEB Alto,Baixa Densidade,-4.83136,-40.3196
TARRAFAS,405,5.65,100.0,100.0,7529.0,18.24,False,5379.2,IDEB Baixo,Baixa Densidade,-6.67838,-39.753
TAUA,1328,5.800000000000001,98.9,98.9,61227.0,15.27,False,2168.98,IDEB Baixo,Baixa Densidade,-5.98585,-40.2968
TEJUCUOCA,1343,5.95,98.68,98.68,17154.0,22.61,False,7829.08,IDEB Alto,Baixa Densidade,-3.98831,-39.5799
TIANGUA,3926,5.9,99.23,99.23,81506.0,89.58,False,4816.82,IDEB Baixo,Alta Densidade,-3.72965,-40.9923
TRAIRI,4377,5.8,99.15,99.15,58415.0,62.9,False,7492.94,IDEB Baixo,Alta Densidade,-3.26932,-39.2681
TURURU,1008,5.4,98.63,98.63,15412.0,76.57,False,6540.36,IDEB Baixo,Alta Densidade,-3.58413,-39.4297
UBAJARA,1694,6.75,98.46,98.46,32767.0,77.34,False,5169.84,IDEB Alto,Alta Densidade,-3.85448,-40.9204
UMARI,406,5.95,97.24,97.24,6871.0,26.11,False,5908.89,IDEB Alto,Baixa Densidade,-6.63893,-38.7008
UMIRIM,1074,5.0,98.37,98.37,17470.0,55.35,False,6147.68,IDEB Baixo,Alta Densidade,-3.67654,-39.3465
URUBURETAMA,1524,5.949999999999999,98.74,98.74,20189.0,203.11,False,7548.67,IDEB Baixo,Alta Densidade,-3.62316,-39.5107
URUOCA,735,7.0,98.39,98.39,13746.0,19.7,False,5347.01,IDEB Alto,Baixa Densidade,-3.30819,-40.5628
VARJOTA,675,6.25,98.49,98.49,18105.0,101.01,False,3728.25,IDEB Alto,Alta Densidade,-4.19387,-40.4741
VARZEA ALEGRE,874,6.050000000000001,98.59,98.59,38984.0,46.97,False,2241.95,IDEB Alto,Alta Densidade,-6.78264,-39.2942
VICOSA DO CEARA,2899,5.800000000000001,98.81,98.81,59712.0,45.55,False,4854.97,IDEB Baixo,Alta Densidade,-3.5667,-41.0916
